,Addresses,Contacts,TaxCode,TaxRate,CustomerCode,CustomerName,GSTVATNumber,BankName,BankBranch,BankAccount,Website,PhoneNumber,FaxNumber,MobileNumber,DDINumber,TollFreeNumber,Email,EmailCC,Currency,Notes,Taxable,XeroContactId,SalesPerson,DiscountRate,PrintPackingSlipInsteadOfInvoice,PrintInvoice,StopCredit,Obsolete,XeroSalesAccount,XeroCostOfGoodsAccount,SellPriceTier,SellPriceTierReference,CustomerType,PaymentTerm,ContactFirstName,ContactLastName,SourceId,CreatedBy,CreatedOn,LastModifiedBy,Guid,LastModifiedOn
0,[],[],,,BENEMP,Ben's Emporium,,,,,,,,,,,,,"{'CurrencyCode': 'NZD', 'Description': 'New Zealand, Dollars', 'Guid': '1a3f1cde-deda-4cea-983c-85f95bd20628', 'LastModifiedOn': '/Date(1623618506350)/'}",Customer updated via xml POST,True,,,0.0,False,False,False,False,,,,,On Account,20th Month following,,,,admin,2019-06-16 13:02:13.916,tommywhy1989@gmail.com,f1cf4667-6c86-4a05-8794-7ff64a2fe74f,2021-06-17 22:43:25.677
1,[],[],,,EMWAR,Emmanuel's Discount Warehouse,,,,,,,,,,,,,"{'CurrencyCode': 'USD', 'Description': 'United States of America, Dollars', 'Guid': '30df1c3f-df7b-4b37-b9ac-b15cf55bd63e', 'LastModifiedOn': '/Date(1623618506350)/'}",,True,,,0.0,False,False,False,False,,,,,Wholesale,20th Month following,,,,admin,2019-06-16 13:02:13.916,,1ced0364-4788-42c9-9d2e-0ca40e30f16c,2021-06-15 13:02:13.946
2,[],[],,,FRANCK,Franck & Co.,,,,,,,,,,,,,"{'CurrencyCode': 'USD', 'Description': 'United States of America, Dollars', 'Guid': '30df1c3f-df7b-4b37-b9ac-b15cf55bd63e', 'LastModifiedOn': '/Date(1623618506350)/'}",,True,,,0.0,False,False,False,False,,,,,Cash,20th Month following,,,,admin,2019-06-16 13:02:13.916,,92cc4f48-4627-45fb-b95c-2358911c9060,2021-06-15 13:02:13.940
3,[],[],,,GAR123,Garrick Inc.,,,,,,,,,,,,,"{'CurrencyCode': 'AUD', 'Description': 'Australia, Dollars', 'Guid': '93e11803-693c-4016-8444-0ce45db71958', 'LastModifiedOn': '/Date(1623618506350)/'}",,True,,,0.0,False,False,False,False,,,,,Cash,20th Month following,,,,admin,2019-06-16 13:02:13.916,,1a2d2582-8fe3-4a19-9cdf-86ca44e1ee30,2021-06-15 13:02:13.943
4,[],[],,,GBRO,Griffin Brothers Fabrication Ltd.,,,,,,,,,,,,,"{'CurrencyCode': 'AUD', 'Description': 'Australia, Dollars', 'Guid': '93e11803-693c-4016-8444-0ce45db71958', 'LastModifiedOn': '/Date(1623618506350)/'}",,True,,,0.0,False,False,False,False,,,,,Wholesale,20th Month following,,,,admin,2019-06-16 13:02:13.916,,66b78e78-72de-4ce6-8273-4714d1eef780,2021-06-15 13:02:13.946
5,[],[],,,JUNIOR,The Junior Store,,,,,,,,,,,,,"{'CurrencyCode': 'USD', 'Description': 'United States of America, Dollars', 'Guid': '30df1c3f-df7b-4b37-b9ac-b15cf55bd63e', 'LastModifiedOn': '/Date(1623618506350)/'}",,True,,,0.0,False,False,False,False,,,,,On Account,20th Month following,,,,admin,2019-06-16 13:02:13.916,,2b7e7292-f98a-463e-a378-907d84cfc3d7,2021-06-15 13:02:13.943
6,[],[],,,LMH001,LMH Industries,,,,,,,,,,,,,"{'CurrencyCode': 'NZD', 'Description': 'New Zealand, Dollars', 'Guid': '1a3f1cde-deda-4cea-983c-85f95bd20628', 'LastModifiedOn': '/Date(1623618506350)/'}",,True,,,0.0,False,False,False,False,,,,,Wholesale,20th Month following,,,,admin,2019-06-16 13:02:13.916,,f3b59598-528f-4102-85d3-1f451595add1,2021-06-15 13:02:13.943
7,[],[],,,MATSUP,Matt's Supplies Ltd.,,,,,,,,,,,,,"{'CurrencyCode': 'AUD', 'Description': 'Australia, Dollars', 'Guid': '93e11803-693c-4016-8444-0ce45db71958', 'LastModifiedOn': '/Date(1623618506350)/'}",,True,,,0.0,False,False,False,False,,,,,On Account,20th Month following,,,,admin,2019-06-16 13:02:13.916,,e482e0be-f1b2-4e28-9094-88de57237846,2021-06-15 13:02:13.940
8,[],[],,,PHP-4E6CC0BF-1F0C-4CF9-A6B2-27CA79020454,New customer PHP-4E6CC0BF-1F0C-4CF9-A6B2-27CA79020454,,,,,,,,,,,,,"{'CurrencyCode': 'NZD', 'Description': 'New Zealand, Dollars', 'Guid': '1a3f1cde-deda-4cea-983c-85f95bd20628', 'LastModifiedOn': '/Date(1623618506350)/'}",Customer 4E6CC0BF-1F0C-4CF9-A6B2-27CA79020454 added via json POST,True,,,,,,False,False,,,,,,,,,,tommywhy1989@gmail.com,2021-06-17 22:43:26.008,tommywhy1989@gmail.com,4e6cc0bf-1f0c-4cf9-a6b2-27ca79020454,2021-06-17 22:43:26.008
9,[],[],,,PHP-5154B091-2A75-473D-891A-DC86EDEB699A,New customer PHP-5154B091-2A75-473D-891A-DC86EDEB699A,,,,,,,,,,,,,"{'CurrencyCode': 'NZD', 'Description': 'New Zealand, Dollars', 'Guid': '1a3f1cde-deda-4cea-983c-85f95bd20628', 'LastModifiedOn': '/Date(1623618506350)/'}",Customer 5154B091-2A75-473D-891A-DC86EDEB699A added via json POST,True,,,,,,False,False,,,,,,,,,,tommywhy1989@gmail.com,2021-06-17 22:41:35.904,tommywhy1989@gmail.com,5154b091-2a75-473d-891a-dc86edeb699a,2021-06-17 22:41:35.904
